✅ HTML에서 사용 가능한 기본 제공 아이콘 (이모지 & 엔티티 코드 포함) - 가운데 점 추가

용도	아이콘
🔒 잠금 🔓 🔐 🔢
✅ 완료, 승인	✅ ✔️ ☑️
❌ 취소, 거절	❌ ✖️ ❎ 🚫
⏳ 대기, 보류	⏳ ⏱️ 🕰️
⚠️ 경고, 주의	⚠️ 🚨 ❗ ❕
ℹ️ 정보, 알림	ℹ️ 📢 📣
🟢🛑 시작, 정지, 금지	🟢 🛑 ⛔ 🚦 🚷 🚭 🔞
🛠 작업, 설정	🛠 🔧 🔨 ⚙️ 
💾 저장, 파일	💾 📥 📤
🔍 검색, 확대	🔍 🔎
🏠 홈, 네비게이션	🏠 🏡 ☰ 📋
🔄 새로고침, 반복	🔄 🔃
⬅️ ➡️ 방향	⬅️ ➡️ ⏮️ ⏭️ ↩️ ↪️ 🔄 
⭐ 즐겨찾기, 평가	⭐ 🌟 ✨
👍 좋아요, 추천	👍 💖 ❤️ 💙
👎 싫어요, 취소	👎 💔
💬 채팅, 메시지	💬 🗨️ 📩 ✉️
📞 전화, 연락	📞 ☎️ 📱 📧
📢 알림, 종소리	📢 🔔
📄 문서, 파일	📄 📑 🗂️ 📁 📂
🔗 링크, 클립	🔗 📎
🔢 숫자, 계산	0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟 ➕ ➖ ➗ ✖️
🏁 위치, 이동	📍 🏁 🗺️ 🧭
▶️ 재생, 미디어	▶️ ⏯️ 🎵
⏸️ 정지, 일시정지	⏸️ ⏹️
🎤 녹음, 음성	🎤 🎙️
🔊 볼륨 조절	🔊 🔉 🔈 🔇
🚀 빠른 실행, 성능	🚀
💡 아이디어, 힌트	💡
• 가운데 점(작은 원)	• ⋅ · 🔹
◉ 강조된 점(큰 원)	◉ ⦿ ⊙
⚫ 검은 점	⚫ 🔘 🔴
⚪ 흰 점	⚪ 🔲 ⬜
